Deutsch,English
das Referat,presentation / report
die Präsentation,presentation
der Vortrag,talk / presentation
die Beschreibung,description
aufschreiben,to write down
notieren,to note down
der Stapel,stack / pile
aufeinanderstapeln,to stack on top of each other
die KI (künstliche Intelligenz),AI (artificial intelligence)
zeigen,to show
schauen,to look / watch
sehen,to see
programmieren,to program
zum Programmieren,for programming / for the purpose of programming
mit etwas zu tun haben,to have to do with something
bemerken,to notice
ein Risiko eingehen,to take a risk
ein Konto löschen,to delete an account
die Werbung,advertising / advertisement
verschlüsselt,encrypted
die Bedenken (Pl.),concerns / reservations
recherchieren,to research / look up information
das Passwort ändern,to change the password
schützen,to protect
wenn man Pech hat,if you're unlucky
zum Glück,fortunately / luckily
herausfinden,to find out
das Schriftzeichen,character / written symbol
unterscheiden,to distinguish / differentiate
unmöglich,impossible
sich merken,to remember / memorize
wenn ich das Wort sehe,when I see the word
wann ich es mir merke,when I remember it / when I memorize it
die Dyslexie,dyslexia
auditiv,auditory
visuell,visual
den Akku aufladen,to charge the battery
eine Datei speichern,to save a file
aufgeladen,charged
gespeichert,saved
voll,full
sein,to be
ausgeschaltet,switched off
einschalten,to switch on / turn on
geputzt,cleaned
sauber,clean
zerstört,destroyed
kaputt,broken
geöffnet,open
offen,open
abgeschlossen,completed / finished
fertig,finished / done
anschrauben,to screw on / fasten with screws
befestigen mit Schrauben,to fasten with screws
der Schraubenzieher,screwdriver
anschließen,to connect
verbinden,to connect
aufhängen an,to hang on / attach to
die Steckdose,power socket / electrical outlet
eingesteckt,plugged in
eingeschaltet,switched on
verbunden,connected
belasten,to strain / burden
schaden,to harm / damage
beschränken,to limit / restrict
begrenzen,to limit
limitieren,to limit
verschwenden,to waste
die Zeitverschwendung,waste of time
die Wasserverschwendung,waste of water
die Energieverschwendung,waste of energy
verschwinden,to disappear
verschwendet,wasted
beitragen zu,to contribute to
etwas machen für,to do something for
gängig,common / usual
üblich,usual / customary
herkömmlich,conventional / traditional
ausgebeutet werden,to be exploited
ausgenutzt werden,to be exploited / taken advantage of
verweisen,to refer / point to
verbleiben,to remain
